id,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low,total_player_load,average_player_load,peak_player_load,player_load_per_minute,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps,rhie_bout_recovery_max,rhie_bout_recovery_min,rhie_bout_recovery_mean,rhie_effort_per_bout,rhie_effort_per_bout_max,rhie_effort_recovery_min,rhie_effort_recovery_mean,rhie_total_bouts,rhie_efforts_per_bout_min,injury
0,713,73,73,136,504,10,13,21,70,20,40,114,490,245,9,7,157,157,2,82,59,16,634,21,83,7,17,0,3,37,3,0
1,420,20,20,64,336,6,2,2,52,4,17,88,381,190,4,5,174,174,2,131,30,13,917,0,192,13,24,0,3,15,0,0
2,436,30,30,79,327,6,13,13,65,7,17,78,397,198,5,6,127,127,2,84,33,10,450,0,140,6,14,0,4,21,0,0
3,1070,98,98,207,765,7,14,22,66,24,41,117,636,42,8,4,96,96,1,32,19,45,358,0,104,6,16,0,2,34,0,0
4,1027,83,83,177,767,9,18,27,66,28,28,114,534,44,4,5,82,82,1,26,21,35,299,0,83,5,13,0,3,35,0,0
5,946,76,76,165,705,4,16,25,97,23,24,124,567,57,5,3,81,81,0,32,29,20,273,0,88,5,9,0,2,32,0,0
6,1197,72,72,202,923,10,19,22,96,20,31,111,635,58,5,5,127,127,1,31,50,46,282,0,97,6,18,0,3,27,0,0
7,964,61,61,153,750,10,12,14,78,18,29,114,543,45,6,6,98,98,1,44,18,36,351,0,102,5,16,0,1,30,0,0
8,848,66,66,178,604,10,13,18,68,18,34,101,546,46,4,6,86,86,1,27,29,30,246,0,85,6,13,0,2,26,0,0
9,972,83,83,175,714,8,15,23,50,26,40,118,655,55,5,5,86,86,1,32,28,26,365,0,104,5,11,0,2,33,0,0
10,657,53,53,140,464,6,9,15,67,17,19,94,530,41,4,5,92,92,1,32,45,15,359,0,129,6,19,0,2,17,0,0
11,964,69,69,177,718,10,13,17,73,21,49,123,562,51,5,6,79,79,1,25,31,23,325,0,115,5,10,0,2,24,0,0
12,409,38,38,87,284,7,4,12,40,13,33,57,290,41,3,5,50,50,1,31,11,8,323,0,136,5,10,0,1,19,0,0
13,752,64,64,155,533,8,5,21,51,20,36,88,570,48,5,6,112,112,1,49,37,26,545,0,130,6,13,0,2,27,0,0
14,693,59,59,112,522,7,11,13,51,23,29,90,489,44,4,5,97,97,1,23,56,18,668,0,128,5,9,0,1,22,0,0
15,372,17,17,72,283,5,3,11,33,4,16,56,339,48,5,5,52,52,1,31,14,7,670,0,198,5,10,0,2,13,0,0
