period,season,date,game,win_loss,score,team_score,total_player_load,avg_load_against_opp
In Season,2015-16,1/14/2016,null,null,null,null,4672.79033,null
In Season,2015-16,1/15/2016,null,null,null,null,3423.25862,null
In Season,2015-16,1/16/2016,Penn State(1),Loss,L71-62,62,null,3163.31912
In Season,2015-16,1/17/2016,null,null,null,null,2359.83786,null
In Season,2015-16,1/18/2016,null,null,null,null,3510.60157,null
In Season,2015-16,1/19/2016,Maryland,Loss,L62-56,56,1046.83813,1046.83813
In Season,2015-16,1/21/2016,null,null,null,null,3706.58864,null
In Season,2015-16,1/23/2016,Indiana,Loss,L89-57,57,525.77002,525.77002
In Season,2015-16,1/25/2016,null,null,null,null,1758.07399,null
In Season,2015-16,1/26/2016,null,null,null,null,3942.00561,null
In Season,2015-16,1/27/2016,null,null,null,null,4814.11691,null
In Season,2015-16,1/28/2016,Michigan State,Loss,L76-45,45,885.10767,885.10767
In Season,2015-16,1/29/2016,null,null,null,null,2043.18973,null
In Season,2015-16,1/30/2016,null,null,null,null,2084.73563,null
In Season,2015-16,1/31/2016,Iowa,Loss,L85-71,71,1804.82965,1804.82965
In Season,2015-16,2/2/2016,null,null,null,null,3370.34969,null
In Season,2015-16,2/4/2016,Minnesota,Win,W82-58,82,1574.48511,1678.944725
In Season,2015-16,2/7/2016,null,null,null,null,5117.50046,null
In Season,2015-16,2/8/2016,null,null,null,null,3901.74213,null
In Season,2015-16,2/9/2016,Ohio State,Loss,L71-63,63,2841.07369,2841.07369
In Season,2015-16,2/12/2016,null,null,null,null,3022.11743,null
In Season,2015-16,2/13/2016,Illinois,Win,W58-56,58,934.97998,934.97998
In Season,2015-16,2/15/2016,null,null,null,null,4236.96552,null
In Season,2015-16,2/16/2016,Purdue,Loss,L71-61,61,3536.65857,3536.65857
In Season,2015-16,2/19/2016,null,null,null,null,3716.34847,null
In Season,2015-16,2/20/2016,null,null,null,null,3729.06391,null
In Season,2015-16,2/24/2016,Michigan(1),Loss,L72-63,63,1783.40434,1783.40434
In Season,2015-16,2/25/2016,null,null,null,null,1950.24013,null
In Season,2015-16,2/26/2016,null,null,null,null,5228.77366,null
In Season,2015-16,2/27/2016,Rutgers,Win,W98-59,98,984.22733,984.22733
In Season,2015-16,2/29/2016,null,null,null,null,4024.73988,null
In Season,2015-16,3/1/2016,null,null,null,null,3202.66011,null
In Season,2015-16,3/2/2016,null,null,null,null,5224.22638,null
In Season,2015-16,3/3/2016,Penn State(2),Win,W71-61,71,3163.31912,3163.31912
In Season,2015-16,3/5/2016,null,null,null,null,3488.73283,null
In Season,2015-16,3/6/2016,Nebraska,Win,W64-54,64,1486.15961,1486.15961
In Season,2015-16,3/8/2016,null,null,null,null,3554.48975,null
In Season,2015-16,3/9/2016,null,null,null,null,4033.49448,null
In Season,2015-16,3/10/2016,Michigan(2),Loss,L72-70,70,null,1783.40434
Off Season,null,5/24/2016,null,null,null,null,3564.22921,null
Off Season,null,5/25/2016,null,null,null,null,2784.8144,null
Off Season,null,5/26/2016,null,null,null,null,2981.5942,null
Off Season,null,6/21/2016,null,null,null,null,6277.41871,null
Off Season,null,6/23/2016,null,null,null,null,5825.31885,null
Off Season,null,6/24/2016,null,null,null,null,6093.99871,null
Off Season,null,6/27/2016,null,null,null,null,6033.11421,null
Off Season,null,6/29/2016,null,null,null,null,4602.71069,null
Off Season,null,6/30/2016,null,null,null,null,4301.25841,null
Off Season,null,7/5/2016,null,null,null,null,5950.0215,null
Off Season,null,7/6/2016,null,null,null,null,2856.61558,null
Off Season,null,7/11/2016,null,null,null,null,5317.08741,null
Off Season,null,7/12/2016,null,null,null,null,4891.43638,null
Off Season,null,7/13/2016,null,null,null,null,2626.3476,null
Off Season,null,7/18/2016,null,null,null,null,4634.84996,null
Off Season,null,7/19/2016,null,null,null,null,3986.25224,null
Off Season,null,7/20/2016,null,null,null,null,3103.60279,null
Off Season,null,7/25/2016,null,null,null,null,5080.49469,null
Off Season,null,7/26/2016,null,null,null,null,3608.34198,null
Off Season,null,7/27/2016,null,null,null,null,4551.26756,null
Off Season,null,7/28/2016,null,null,null,null,5162.29155,null
Off Season,null,7/29/2016,null,null,null,null,4850.10273,null
Off Season,null,8/5/2016,null,null,null,null,3,null
Off Season,null,8/11/2016,null,null,null,null,114.83509,null
Off Season,null,8/12/2016,null,null,null,null,370.82504,null
Off Season,null,8/15/2016,null,null,null,null,113.22744,null
Off Season,null,8/16/2016,null,null,null,null,201.67833,null
Off Season,null,8/28/2016,null,null,null,null,32.79586,null
Off Season,null,9/12/2016,null,null,null,null,19.4791,null
