id,date,Jersey,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low
bc83f44d-fdf4-42a7-a23b-565de107bb9c,05/24/2016 - Vic Law,4,713,73,73,136,504,9.65139,13,21,70,20,40,114
bc83f44d-fdf4-42a7-a23b-565de107bb9c,05/25/2016 - Vic Law,4,420,20,20,64,336,5.71299,2,2,52,4,17,88
bc83f44d-fdf4-42a7-a23b-565de107bb9c,05/26/2016 - Vic Law,4,436,30,30,79,327,6.16405,13,13,65,7,17,78
bc83f44d-fdf4-42a7-a23b-565de107bb9c,06/21/2016 - Vic Law,4,1070,98,98,207,765,7.16923,14,22,66,24,41,117
bc83f44d-fdf4-42a7-a23b-565de107bb9c,06/23/2016 - Vic Law,4,1027,83,83,177,767,9.06047,18,27,66,28,28,114
bc83f44d-fdf4-42a7-a23b-565de107bb9c,06/24/2016 - Vic Law,4,946,76,76,165,705,4.3274,16,25,97,23,24,124
bc83f44d-fdf4-42a7-a23b-565de107bb9c,06/27/2016 - Vic Law,4,1197,72,72,202,923,10.18417,19,22,96,20,31,111
bc83f44d-fdf4-42a7-a23b-565de107bb9c,06/29/2016 - Vic Law,4,964,61,61,153,750,9.81374,12,14,78,18,29,114
bc83f44d-fdf4-42a7-a23b-565de107bb9c,06/30/2016 - Vic Law,4,848,66,66,178,604,9.80455,13,18,68,18,34,101
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/05/2016 - Vic Law,4,972,83,83,175,714,7.97051,15,23,50,26,40,118
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/11/2016 - Vic Law,4,657,53,53,140,464,6.27384,9,15,67,17,19,94
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/12/2016 - Vic Law,4,964,69,69,177,718,9.94402,13,17,73,21,49,123
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/13/2016 - Vic Law,4,409,38,38,87,284,6.78977,4,12,40,13,33,57
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/18/2016 - Vic Law,4,752,64,64,155,533,7.96267,5,21,51,20,36,88
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/19/2016 - Vic Law,4,693,59,59,112,522,7.13815,11,13,51,23,29,90
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/20/2016 - Vic Law,4,372,17,17,72,283,5.1889,3,11,33,4,16,56
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/25/2016 - Vic Law,4,841,74,74,161,606,7.66642,10,20,59,30,41,109
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/26/2016 - Vic Law,4,778,33,33,115,630,10.98505,5,12,43,11,19,88
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/27/2016 - Vic Law,4,592,43,43,124,425,6.14526,3,13,52,22,30,102
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/28/2016 - Vic Law,4,1019,87,87,214,718,9.83045,19,21,88,21,38,123
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/29/2016 - Vic Law,4,740,49,49,131,560,6.91257,11,14,61,12,30,122
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/15/2016 - Vic Law,4,799,61,61,145,593,7.90245,12,18,59,18,32,106
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/16/2016 - Vic Law,4,647,35,35,129,483,5.22406,7,16,59,8,34,77
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/17/2016 - Vic Law,4,896,65,65,160,671,8.18043,12,11,54,15,40,110
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/19/2016 - Vic Law,4,753,76,76,134,543,2.25979,25,13,86,15,34,120
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/20/2016 - Vic Law,4,715,42,42,143,530,6.06712,6,16,57,13,48,111
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/22/2016 - Vic Law,4,1001,88,88,197,716,8.54694,9,21,70,31,47,150
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/24/2016 - Vic Law,4,782,73,73,152,557,8.11,6,14,60,22,33,96
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/26/2016 - Vic Law,4,1033,46.5,93,200,740,7.58727,19,19,71,32,41,149
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/28/2016 - Vic Law,4,895,65,65,179,651,9.82701,9,23,74,20,50,128
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/30/2016 - Vic Law,4,1517,142,142,296,1079,9.07647,18,20,103,48,70,206
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/01/2016 - Vic Law,4,1266,75,75,239,952,8.03413,6,26,87,20,50,159
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/03/2016 - Vic Law,4,1220,109,109,236,875,9.20412,12,28,73,37,61,161
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/04/2016 - Vic Law,4,396,29,29,78,289,4.54853,3,4,29,16,18,61
