id,date,jersey,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps
bc83f44d-fdf4-42a7-a23b-565de107bb9c,5/24/16,4,157,157,2.1252,82,59,16
bc83f44d-fdf4-42a7-a23b-565de107bb9c,5/25/16,4,174,174,2.36681,131,30,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,5/26/16,4,127,127,1.79549,84,33,10
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/21/16,4,96,96,0.64322,32,19,45
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/23/16,4,82,82,0.72343,26,21,35
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/24/16,4,81,81,0.37053,32,29,20
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/27/16,4,127,127,1.08053,31,50,46
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/29/16,4,98,98,0.99766,44,18,36
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/30/16,4,86,86,0.99433,27,29,30
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/5/16,4,86,86,0.70521,32,28,26
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/11/16,4,92,92,0.87853,32,45,15
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/12/16,4,79,79,0.81491,25,31,23
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/13/16,4,50,50,0.83005,31,11,8
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/18/16,4,112,112,1.18593,49,37,26
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/19/16,4,97,97,0.99913,23,56,18
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/20/16,4,52,52,0.72533,31,14,7
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/25/16,4,86,86,0.78396,29,37,20
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/26/16,4,79,79,1.11545,14,48,17
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/27/16,4,72,72,0.7474,43,16,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/28/16,4,115,115,1.10942,43,43,29
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/29/16,4,118,118,1.10227,57,43,18
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/15/16,4,94,94,0.9297,23,42,29
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/16/16,4,64,64,0.51675,24,14,26
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/17/16,4,86,86,0.78518,26,21,39
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/19/16,4,84,84,0.25209,33,32,19
