Player,Player_ID,Opponent,Date,Start?,min,FGM,FGA,pct,3FG,3FGA,pct,FTM,FTA,pct,combo_shots_made,combo_shots_attempt,combo_shots_percent,off,def,tot,avg,pf,AST,T/O,BLK,STl,PTS,avg
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Loyola (Md.),11/10/2017,Yes,35.00,4.00,12.00,0.33,1.00,4.00,0.25,3.00,5.00,0.60,8.00,21.00,0.38,1.00,6.00,7.00,7.00,4.00,1.00,0.00,3.00,0.00,12.00,12.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Saint Peter's,11/13/2017,Yes,35.00,4.00,8.00,0.50,1.00,4.00,0.25,1.00,1.00,1.00,6.00,13.00,0.46,2.00,5.00,7.00,7.00,1.00,1.00,2.00,1.00,2.00,10.00,11.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Creighton,11/15/2017,Yes,39.00,11.00,19.00,0.58,5.00,10.00,0.50,3.00,4.00,0.75,19.00,33.00,0.58,2.00,3.00,5.00,6.00,4.00,1.00,2.00,2.00,1.00,30.00,17.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,La Salle,11/18/2017,Yes,33.00,4.00,11.00,0.36,0.00,3.00,0.00,0.00,0.00,0.00,4.00,14.00,0.29,4.00,4.00,8.00,7.00,2.00,5.00,1.00,2.00,0.00,8.00,15.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Texas Tech,11/19/2017,Yes,31.00,1.00,6.00,0.17,1.00,3.00,0.33,1.00,2.00,0.50,3.00,11.00,0.27,0.00,4.00,4.00,6.00,4.00,0.00,4.00,0.00,0.00,4.00,13.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Sacred Heart,11/24/2017,Yes,29.00,5.00,9.00,0.56,2.00,5.00,0.40,3.00,3.00,1.00,10.00,17.00,0.59,1.00,0.00,1.00,5.00,1.00,2.00,1.00,0.00,1.00,15.00,13.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Georgia Tech,11/28/2017,Yes,33.00,5.00,8.00,0.63,1.00,2.00,0.50,1.00,1.00,1.00,7.00,11.00,0.64,1.00,4.00,5.00,5.00,2.00,2.00,1.00,0.00,3.00,12.00,13.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Illinois,12/1/2017,Yes,35.00,6.00,11.00,0.55,2.00,7.00,0.29,2.00,2.00,1.00,10.00,20.00,0.50,1.00,6.00,7.00,6.00,5.00,1.00,1.00,0.00,1.00,16.00,13.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Purdue,12/3/2017,Yes,33.00,4.00,9.00,0.44,3.00,4.00,0.75,1.00,2.00,0.50,8.00,15.00,0.53,3.00,7.00,10.00,6.00,3.00,4.00,1.00,0.00,1.00,12.00,13.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Chicago State,12/11/2017,Yes,17.00,4.00,6.00,0.67,3.00,4.00,0.75,7.00,7.00,1.00,14.00,17.00,0.82,0.00,3.00,3.00,6.00,3.00,0.00,0.00,0.00,1.00,18.00,14.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Valparaiso,12/14/2017,Yes,25.00,5.00,9.00,0.56,5.00,7.00,0.71,3.00,3.00,1.00,13.00,19.00,0.68,0.00,4.00,4.00,6.00,3.00,3.00,0.00,0.00,1.00,18.00,14.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,DePaul,12/16/2017,Yes,13.00,3.00,5.00,0.60,2.00,2.00,1.00,1.00,2.00,0.50,6.00,9.00,0.67,1.00,1.00,2.00,5.00,3.00,1.00,4.00,0.00,0.00,9.00,14.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Brown,12/30/2017,Yes,17.00,2.00,9.00,0.22,2.00,6.00,0.33,5.00,5.00,1.00,9.00,20.00,0.45,0.00,2.00,2.00,5.00,4.00,2.00,1.00,1.00,1.00,11.00,14.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Nebraska,1/2/2018,Yes,37.00,2.00,11.00,0.18,0.00,4.00,0.00,4.00,4.00,1.00,6.00,19.00,0.32,3.00,5.00,8.00,5.00,1.00,3.00,3.00,1.00,1.00,8.00,13.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Penn State,1/5/2018,Yes,30.00,3.00,7.00,0.43,1.00,3.00,0.33,1.00,1.00,1.00,5.00,11.00,0.45,1.00,5.00,6.00,5.00,4.00,5.00,1.00,0.00,3.00,8.00,13.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Minnesota,1/10/2018,Yes,27.00,3.00,7.00,0.43,2.00,5.00,0.40,0.00,0.00,0.00,5.00,12.00,0.42,0.00,7.00,7.00,5.00,3.00,1.00,2.00,0.00,0.00,8.00,12.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Indiana,1/14/2018,Yes,34.00,4.00,11.00,0.36,1.00,4.00,0.25,0.00,0.00,0.00,5.00,15.00,0.33,3.00,4.00,7.00,6.00,3.00,3.00,1.00,0.00,3.00,9.00,12.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Ohio State,1/17/2018,Yes,32.00,5.00,14.00,0.36,2.00,8.00,0.25,2.00,2.00,1.00,9.00,24.00,0.38,1.00,4.00,5.00,5.00,2.00,2.00,2.00,0.00,1.00,14.00,12.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Penn State,1/20/2018,Yes,35.00,5.00,12.00,0.42,3.00,7.00,0.43,5.00,7.00,0.71,13.00,26.00,0.50,0.00,5.00,5.00,5.00,2.00,2.00,1.00,0.00,1.00,18.00,13.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Minnesota,1/23/2018,Yes,35.00,6.00,11.00,0.55,1.00,3.00,0.33,5.00,6.00,0.83,12.00,20.00,0.60,1.00,12.00,13.00,6.00,2.00,5.00,3.00,2.00,1.00,18.00,13.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Michigan,1/29/2018,Yes,28.00,2.00,8.00,0.25,0.00,5.00,0.00,2.00,2.00,1.00,4.00,15.00,0.27,0.00,7.00,7.00,6.00,3.00,1.00,3.00,1.00,1.00,6.00,13.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Wisconsin,2/1/2018,Yes,36.00,4.00,7.00,0.57,1.00,1.00,1.00,0.00,0.00,0.00,5.00,8.00,0.63,0.00,8.00,8.00,6.00,3.00,2.00,1.00,1.00,1.00,9.00,12.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Michigan,2/6/2018,Yes,36.00,2.00,10.00,0.20,1.00,8.00,0.13,2.00,2.00,1.00,5.00,20.00,0.25,1.00,6.00,7.00,6.00,2.00,1.00,3.00,0.00,2.00,7.00,12.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Maryland,2/10/2018,Yes,36.00,3.00,9.00,0.33,2.00,4.00,0.50,0.00,0.00,0.00,5.00,13.00,0.38,2.00,3.00,5.00,6.00,0.00,3.00,1.00,0.00,2.00,8.00,12.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Rutgers,2/13/2018,Yes,42.00,2.00,7.00,0.29,1.00,3.00,0.33,2.00,4.00,0.50,5.00,14.00,0.36,1.00,4.00,5.00,6.00,3.00,1.00,2.00,0.00,0.00,7.00,12.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Michigan State,2/17/2018,Yes,40.00,7.00,17.00,0.41,5.00,11.00,0.46,2.00,2.00,1.00,14.00,30.00,0.47,0.00,3.00,3.00,6.00,2.00,5.00,3.00,1.00,1.00,21.00,12.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Maryland,2/19/2018,Yes,30.00,3.00,8.00,0.38,3.00,6.00,0.50,0.00,1.00,0.00,6.00,15.00,0.40,1.00,4.00,5.00,6.00,4.00,3.00,1.00,0.00,0.00,9.00,12.00
Vic Law,bc83f44d-fdf4-42a7-a23b-565de107bb9c,Total,NULL,NULL,853.00,109.00,261.00,0.42,51.00,133.00,0.38,56.00,68.00,0.82,216.00,462.00,0.47,30.00,126.00,156.00,6.00,73.00,60.00,45.00,15.00,29.00,325.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Loyola (Md.),11/10/2017,Yes,29.00,6.00,9.00,0.67,0.00,0.00,0.00,4.00,10.00,0.40,10.00,19.00,0.53,5.00,2.00,7.00,7.00,4.00,0.00,3.00,3.00,0.00,16.00,16.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Saint Peter's,11/13/2017,Yes,36.00,4.00,9.00,0.44,0.00,0.00,0.00,7.00,8.00,0.88,11.00,17.00,0.65,1.00,3.00,4.00,6.00,3.00,3.00,5.00,0.00,0.00,15.00,16.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Creighton,11/15/2017,Yes,25.00,3.00,7.00,0.43,0.00,1.00,0.00,0.00,1.00,0.00,3.00,9.00,0.33,1.00,4.00,5.00,5.00,4.00,0.00,3.00,3.00,0.00,6.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,La Salle,11/18/2017,Yes,24.00,6.00,9.00,0.67,0.00,0.00,0.00,2.00,2.00,1.00,8.00,11.00,0.73,2.00,5.00,7.00,6.00,4.00,0.00,4.00,2.00,0.00,14.00,13.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Texas Tech,11/19/2017,Yes,23.00,1.00,1.00,1.00,0.00,0.00,0.00,4.00,5.00,0.80,5.00,6.00,0.83,2.00,0.00,2.00,5.00,4.00,0.00,1.00,0.00,1.00,6.00,11.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Sacred Heart,11/24/2017,Yes,22.00,5.00,7.00,0.71,0.00,0.00,0.00,1.00,3.00,0.33,6.00,10.00,0.60,4.00,2.00,6.00,5.00,3.00,0.00,0.00,0.00,1.00,11.00,11.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Georgia Tech,11/28/2017,Yes,31.00,4.00,6.00,0.67,0.00,0.00,0.00,2.00,3.00,0.67,6.00,9.00,0.67,4.00,8.00,12.00,6.00,3.00,1.00,1.00,0.00,0.00,10.00,11.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Illinois,12/1/2017,Yes,43.00,3.00,6.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,3.00,6.00,0.50,2.00,2.00,4.00,6.00,3.00,2.00,0.00,4.00,2.00,6.00,11.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Purdue,12/3/2017,Yes,30.00,9.00,12.00,0.75,0.00,0.00,0.00,2.00,3.00,0.67,11.00,15.00,0.73,1.00,7.00,8.00,6.00,5.00,4.00,0.00,1.00,1.00,20.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Chicago State,12/11/2017,Yes,18.00,4.00,5.00,0.80,0.00,0.00,0.00,5.00,8.00,0.63,9.00,13.00,0.69,4.00,4.00,8.00,6.00,2.00,0.00,0.00,1.00,2.00,13.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Valparaiso,12/14/2017,Yes,20.00,2.00,7.00,0.29,0.00,0.00,0.00,5.00,6.00,0.83,7.00,13.00,0.54,2.00,4.00,6.00,6.00,3.00,3.00,1.00,0.00,0.00,9.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,DePaul,12/16/2017,Yes,37.00,4.00,6.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,4.00,6.00,0.67,3.00,3.00,6.00,6.00,2.00,0.00,4.00,2.00,0.00,8.00,11.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Lewis,12/19/2017,Yes,21.00,5.00,7.00,0.71,0.00,0.00,0.00,2.00,3.00,0.67,7.00,10.00,0.70,0.00,3.00,3.00,6.00,2.00,0.00,1.00,2.00,1.00,12.00,11.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Oklahoma,12/22/2017,Yes,26.00,8.00,11.00,0.73,0.00,0.00,0.00,1.00,4.00,0.25,9.00,15.00,0.60,5.00,4.00,9.00,6.00,3.00,1.00,3.00,0.00,0.00,17.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Brown,12/30/2017,Yes,34.00,6.00,7.00,0.86,0.00,0.00,0.00,6.00,8.00,0.75,12.00,15.00,0.80,4.00,4.00,8.00,6.00,2.00,3.00,0.00,4.00,1.00,18.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Nebraska,1/2/2018,Yes,36.00,6.00,18.00,0.33,0.00,0.00,0.00,5.00,8.00,0.63,11.00,26.00,0.42,11.00,4.00,15.00,7.00,0.00,3.00,2.00,3.00,0.00,17.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Penn State,1/5/2018,Yes,32.00,3.00,6.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,3.00,6.00,0.50,2.00,2.00,4.00,7.00,5.00,1.00,1.00,1.00,1.00,6.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Minnesota,1/10/2018,Yes,31.00,5.00,7.00,0.71,0.00,0.00,0.00,3.00,7.00,0.43,8.00,14.00,0.57,3.00,9.00,12.00,7.00,4.00,0.00,1.00,6.00,1.00,13.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Indiana,1/14/2018,Yes,33.00,2.00,2.00,1.00,0.00,0.00,0.00,4.00,4.00,1.00,6.00,6.00,1.00,4.00,4.00,8.00,7.00,4.00,0.00,2.00,3.00,0.00,8.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Ohio State,1/17/2018,Yes,37.00,3.00,4.00,0.75,0.00,0.00,0.00,1.00,2.00,0.50,4.00,6.00,0.67,2.00,8.00,10.00,7.00,2.00,4.00,0.00,4.00,0.00,7.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Penn State,1/20/2018,Yes,33.00,6.00,9.00,0.67,0.00,0.00,0.00,0.00,1.00,0.00,6.00,10.00,0.60,3.00,1.00,4.00,7.00,3.00,3.00,0.00,1.00,0.00,12.00,12.00
Dererk Pardon,2af37014-378f-4f0b-a1f4-111cd6c2d419,Minnesota,1/23/2018,Yes,29.00,5.00,7.00,0.71,0.00,0.00,0.00,0.00,1.00,0.00,5.00,8.00,0.63,5.00,3.00,8.00,7.00,3.00,2.00,1.00,3.00,0.00,10.00,12.00
